Tox	DicerKO.rep1	DicerKO.rep2	DroshaKO.rep1	DroshaKO.rep2	Wildtype.rep1	Wildtype.rep2
51	21.714	16.39	9.03	13.586	1.426	0.341
51.1	22.748	28.096	296.47	326.079	74.922	80.427
51.2	21.714	21.072	55.08	60.74	13.724	11.546
51.3	2.068	1.171	2.709	0.400	0.416	0.113
51.4	209.916	208.374	285.037	299.306	457.853	410.921
51.5	71.35	58.533	17.458	15.586	2271.867	2085.794
51.6	33.09	22.243	23.778	15.185	0.713	0.735
51.7	45.498	45.654	11.739	14.785	26.557	32.49
51.8	130.291	163.89	182.099	211.79	46.578	43.073
51.9	20.681	25.754	13.845	22.778	1.248	1.075
52	16.545	10.535	8.428	5.195	4.159	4.131
52.1	56.872	62.046	86.988	115.887	3.446	4.132
52.2	6.204	14.048	2.107	1.998	11.288	10.584
52.3	15.51	11.707	46.956	41.559	1.01	1.472
52.4	9976.653	9477.521	4797.432	4776.897	2229.608	2095.811
52.5	28.952	45.656	40.333	53.547	29.469	29.659
52.6	82.722	79.605	1135.625	995.02	106.054	111.672
52.7	21.715	16.389	86.084	71.131	15.27	15.621
52.9	0	0	10.234	7.992	0.832	0.679
53	621.468	673.121	917.71	1074.141	57.81	58.356
53.1	9060.485	8182.784	4492.217	4577.094	233.974	223.636
53.2	92.032	90.14	6.02	5.595	295.889	278.192
53.3	0	3.512	33.108	37.563	2.852	1.697
53.4	98.235	72.581	257.345	256.548	12.238	11.263
53.5	69.281	36.289	31.003	24.377	54.781	57.165
53.6	232.663	184.961	149.293	154.245	31.427	27
53.7	35.157	50.338	28.595	26.374	0.831	1.02
53.8	68.248	52.679	22.273	23.178	38.382	41.771
53.9	135.461	142.818	290.455	267.337	85.973	78.223
54	21.715	19.9	2.107	1.199	0.059	0.057
54.1	50.667	91.31	14.749	30.37	0.71	1.248
54.2	67.212	64.387	86.386	80.722	11066.054	7900.553
54.3	16.545	7.024	35.517	35.965	3.683	2.888
54.4	31.021	25.756	438.839	451.156	65.89	67.922
54.5	8.272	4.683	3974.817	4083.981	122.097	130.296
54.6	6.204	0	44.246	33.567	75.635	57.507
54.7	11.374	11.706	6.622	13.586	4.515	5.264
54.8	68.248	179.108	68.325	123.479	9.505	10.982
55	12.409	9.365	3.612	5.195	0	0.114
55.1	404.317	215.402	49358.351	52646.194	9850.713	9606.78
55.2	389.839	410.897	2499.089	2564.673	57.033	54.341
55.3	608.029	471.77	471.046	434.372	98.273	87.053
55.4	4.136	7.024	2.107	3.197	0.475	0.113
55.5	8.272	14.049	7.826	7.592	0.415	0.227
55.6	2.068	3.512	2.408	0.400	0	0
55.7	71.351	57.361	28.293	38.363	5.822	4.359
55.8	4.136	12.877	1.505	2.398	0.891	0.679
55.9	46.531	53.851	13.244	9.99	18.241	20.434
56	1843.737	1403.601	1044.122	946.668	89.061	79.012
56.1	25.851	19.902	31.906	44.355	0.532	0.963
56.2	174.753	191.988	402.422	485.521	29.291	24.851
56.3	183.027	216.57	767.521	764.445	35.884	28.809
56.4	29.987	22.242	186.01	199.403	61.731	58.979
56.5	38.258	28.096	77.354	54.746	34.579	31.923
56.6	495.316	334.806	149.293	132.673	18171.013	18619.079
56.7	188.199	158.038	88.792	79.923	1544.622	1406.866
56.8	95.135	92.481	25.585	17.183	28.875	30
56.9	97.199	74.922	2072.589	1691.136	42.182	47.77
57	15.51	5.853	6.321	3.198	608.116	492.425
57.1	59.975	47.997	113.775	136.265	6.771	6.343
57.2	27.92	18.73	22.575	16.384	1.247	0.567
57.3	72.384	43.314	241.994	234.57	16.101	17.15
57.4	267.817	202.522	253.433	251.352	147.229	141.049
57.5	78.587	66.727	31.003	39.161	50.977	49.185
57.6	1518.005	664.924	1434.202	922.693	113.002	79.244
57.7	82.724	64.386	39.731	62.339	179.138	165.275
57.8	24.817	28.095	12.341	11.189	30.776	40.526
57.9	3.102	4.683	1.505	1.598	0.535	1.189
58	432.231	324.267	1454.973	2276.159	83.118	58.36
58.1	3.102	3.512	1.204	0.799	0.238	0.170
58.2	167.518	134.625	126.716	130.273	9.862	9.682
58.3	87.893	81.947	221.529	250.554	11.461	11.775
58.4	0	0	6.622	5.195	8.081	6.622
58.5	0	0	3.612	3.596	0	0
58.6	20.681	25.754	9.03	11.988	1.129	1.528
58.7	3.102	7.024	0.602	0.799	0	0.057
58.8	701.092	707.066	692.58	724.882	100.706	107.659
58.9	207.844	159.209	241.393	258.944	585.361	658.605
59	28.954	24.584	81.269	91.909	43.135	37.696
59.1	80.656	40.974	143.273	121.08	217.041	188.99
59.2	23.782	24.585	235.676	240.563	4.04	4.586
59.3	10.341	10.537	585.418	490.714	12.772	11.264
59.4	53.77	23.413	29.197	56.744	83.182	80.543
59.5	82.725	63.217	152.002	155.845	21.687	17.319
59.6	93.063	84.287	62.607	49.552	4.217	3.794
59.7	296.775	316.075	141.164	131.469	11.165	11.376
59.8	103.403	103.018	344.933	328.478	127.504	116.937
59.9	26.884	29.268	66.82	145.058	3.683	2.83
6	7.238	8.194	39.43	38.363	1.189	0.623
6.1	40.327	25.753	253.736	290.515	24.597	21.284
